c_custkey,c_name,c_acctbal,c_phone,n_name,c_address,c_comment,revenue
3097837,Customer#003097837,82.18,27-289-119-2170,PERU,9KRkvtxkNtv0sG9tt18JI2,express accounts-- final requests affix! sometimes final theodolites according to the deposits sleep carefully ab,932424.3843
3694819,Customer#003694819,2426.87,16-814-553-8354,FRANCE,ahNXfeOOPzs cf10MLIY1KhxXbA,xes against the fluffily careful decoys wake carefully against the wartho,911638.3362
5942419,Customer#005942419,3999.75,17-600-617-6665,GERMANY,1AdvSRkMBAMVnzDtB6ux3brnD3dKwvT88,ounts. blithely regular accounts sleep carefully blithely,864931.3902999999
1542028,Customer#001542028,7345.79,31-291-473-7819,VIETNAM,dgPI2d89QdHz5LZhQu36,into beans. fluffily final packages boost. carefully unusual theodolites shall have to sleep unusual patterns,847327.2999999999
1119307,Customer#001119307,730.64,25-228-863-8223,MOROCCO,"IY,37C,yiGiLIzjOGw48mGb","unusual, regular requests cajole after the packages! furiously silent theodolites nag across the furiously regular",827311.6255
2736985,Customer#002736985,9173.5,10-522-408-8357,ALGERIA,"EwYmKRc6OR2Bmx RusPNTrCzFQv69KJPf9,,mrq",s cajole requests. carefully unusual accounts according to the fluffily regu,825670.4009
3087340,Customer#003087340,2545.55,11-789-499-4075,ARGENTINA,MoHe3UGnF7,ounts are carefully accounts. carefully final attainments nag fu,808665.9719
5544109,Customer#005544109,2558.65,31-409-142-6535,VIETNAM,Ofb1gmPtL e,"theodolites sleep fluffily express accounts. regular, ironic c",807487.3257
1749160,Customer#001749160,2104.69,24-776-904-5916,KENYA,dNBtVhA7PP7U8Oynxc zH bkRE7dGI,". quickly unusual deposits wake silent, final requests. excuses detect blithely. fluffily regular foxes hinder. s",796800.6527999999
1505530,Customer#001505530,-95.87,26-807-467-3941,MOZAMBIQUE,k7QCfEJfI HluYApwgFNTEEkS2sM6gFGP,"are slyly ironic, unusual pinto beans. carefully",793615.9190999998
4281862,Customer#004281862,354.34,31-494-428-7869,VIETNAM,"KZNAIT2TJw,,U,QAxf",the furiously bold requests sleep according to the slyly ironic requests. even pinto beans are blithely. slyly spe,789387.6257999998
5105389,Customer#005105389,1454.03,11-926-522-6390,ARGENTINA,"PMgPYea9yC2InjSomNQ,k",furiously even ideas. fluffily even deposits are carefully slyly regular deposits. slyly busy requests unwind sly,788734.2941999999
2499487,Customer#002499487,3801.47,13-495-624-6778,CANADA,"26,cX8H6dRNk",the regular requests! dependencies ca,785732.572
5419498,Customer#005419498,294.26,18-987-967-9182,INDIA,EE AfGFMWjw UKReU,ly. carefully final packages cajole fluffily ironic requests. even,783873.9833
5140756,Customer#005140756,7137.5,22-361-848-7039,JAPAN,"vwYv7,TrhqHn",e after the instructions. fluffily unusual gifts thrash furiously final excuses. re,783388.3782
43966,Customer#000043966,5458.29,28-536-475-8954,CHINA,uiP7GamrPh3,unusual sauternes detect fluffily slyly bold platelets; bl,780801.4196
3131620,Customer#003131620,6440.39,18-294-403-8151,INDIA,wlkyEropaOP,ic accounts above the carefully even epitaphs nag thin packages. carefully bold requests use furiously.,779078.8966000001
4529935,Customer#004529935,-187.75,21-959-288-3742,IRAQ,"UbEqFaRJQVdJdxPo0wqZ5o0bxw6LfhAtUw, u6i",at the express instructions. furiously ironic foxes affix slyly even requests. blithely bold packages use furiously,773712.8237
2248153,Customer#002248153,5499.31,20-683-945-5079,IRAN,"i,HVmpTqXhtbbShJaEo",pending accounts sublate along the unusual tithes. fluffily ironic,771929.1042
5198722,Customer#005198722,9651.56,10-854-970-2242,ALGERIA,jD04sSbl1xFlqy hgHN8OGv3Tva,ggle according to the slyly thin courts; car,764489.6399999999
